"57,117","0,0","26,48","40,70","46,79","50,86","54,92","56,96","58,100","60,103","58,106"
"-76,-12","0,0","-14,-2","-31,-6","-42,-8","-49,-10","-55,-10","-60,-10","-64,-11","-68,-11","-72,-12"
"-199,-12","0,0","-51,-2","-92,-5","-118,-6","-142,-8","-157,-10","-171,-10","-182,-10","-188,-10","-193,-10"
"100,-187","0,0","18,-33","35,-69","47,-97","58,-119","72,-143","83,-161","91,-172","94,-177","97,-182"
"39,100","0,0","6,22","17,48","22,62","26,71","28,76","30,82","32,88","34,92","35,95"
"-84,68","0,0","-23,17","-42,33","-56,45","-65,52","-71,57","-74,60","-77,62","-80,64","-82,67"
"64,-78","0,0","32,-44","52,-68","58,-75","64,-80","72,-87","76,-90","77,-89","73,-85","68,-81"
"90,-165","0,0","24,-39","39,-72","51,-99","56,-109","61,-116","68,-124","73,-135","76,-143","80,-148"
"174,-55","0,0","58,-30","85,-43","93,-46","104,-50","116,-53","127,-54","135,-54","148,-55","158,-55"
"-10,94","0,0","-2,13","-8,36","-12,48","-12,56","-14,63","-14,72","-14,78","-14,82","-14,87"
"151,-96","0,0","54,-26","105,-53","124,-65","133,-72","141,-77","146,-83","150,-87","152,-91","151,-96"
"132,-14","0,0","19,-1","45,-2","69,-4","81,-6","97,-11","107,-12","113,-14","120,-15","126,-14"
"-203,122","0,0","-65,36","-100,60","-134,84","-167,106","-184,116","-198,123","-206,126","-212,127","-208,124"
"-201,-162","0,0","-51,-41","-74,-63","-96,-86","-136,-130","-145,-137","-162,-152","-175,-164","-182,-165","-192,-164"
"22,-55","0,0","2,-6","6,-12","9,-20","12,-28","15,-32","16,-37","17,-42","18,-45","20,-49"
"103,73","0,0","12,8","35,22","48,32","62,42","74,51","85,57","92,63","97,68","100,71"
"61,-117","0,0","6,-20","16,-50","25,-81","32,-100","36,-109","38,-115","42,-117","47,-119","52,-119"
"41,122","0,0","7,26","18,61","24,80","28,90","30,98","33,106","36,112","37,116","39,119"
"-22,-60","0,0","-3,-9","-9,-25","-15,-41","-18,-49","-18,-52","-19,-54","-20,-56","-21,-57","-22,-58"
"118,172","0,0","119,166","140,199","149,212","151,214","147,203","141,197","136,192","129,183","122,177"
"-68,-57","0,0","-9,-7","-23,-18","-30,-23","-35,-26","-43,-32","-47,-34","-50,-37","-53,-39","-59,-46"
"121,-146","0,0","37,-50","49,-66","63,-81","79,-98","95,-112","102,-118","107,-126","112,-135","115,-140"
"-195,-155","0,0","-66,-49","-118,-97","-140,-115","-182,-155","-198,-171","-206,-175","-216,-183","-214,-180","-205,-167"
"76,85","0,0","7,8","25,28","44,46","54,57","60,63","63,66","65,69","68,73","72,77"
"-136,-8","0,0","-27,0","-60,-4","-78,-5","-90,-7","-101,-8","-110,-8","-119,-8","-126,-8","-131,-8"
"-43,-115","0,0","-6,-18","-14,-33","-18,-43","-23,-61","-30,-90","-32,-100","-33,-106","-36,-112","-38,-116"
"-140,-160","0,0","-32,-31","-81,-84","-98,-106","-103,-111","-106,-114","-112,-122","-126,-140","-134,-153","-138,-157"
"85,-34","0,0","29,-12","51,-21","59,-24","64,-26","68,-26","72,-28","76,-28","78,-30","82,-32"
"-125,142","0,0","-36,36","-61,60","-78,78","-90,90","-99,102","-106,110","-110,119","-114,126","-118,132"
"-118,-117","0,0","-32,-34","-69,-75","-75,-81","-79,-83","-87,-89","-102,-102","-110,-109","-114,-112","-118,-117"
"104,-105","0,0","37,-28","55,-43","62,-49","69,-54","78,-64","87,-74","93,-81","97,-88","101,-93"
"191,77","0,0","61,29","93,42","108,47","124,51","140,53","150,57","165,63","178,70","186,73"
"120,175","0,0","25,37","44,62","54,76","72,101","80,113","88,124","102,147","110,158","114,166"
"-47,76","0,0","-12,15","-25,35","-31,44","-33,49","-35,52","-37,57","-39,62","-41,67","-43,71"
"-82,-18","0,0","-8,0","-22,-2","-39,-6","-49,-7","-56,-9","-60,-10","-64,-10","-67,-12","-72,-13"
"77,-10","0,0","7,-1","21,-4","39,-6","52,-7","62,-8","67,-9","71,-9","73,-10","75,-10"
"115,16","0,0","24,2","62,8","81,10","90,12","95,12","100,14","107,15","112,15","115,16"
"124,53","0,0","36,14","66,27","78,32","85,36","96,40","102,43","108,44","111,46","115,48"
"29,-8","0,0","2,0","5,-2","9,-2","12,-3","14,-4","17,-5","18,-6","20,-6","22,-7"
